Talent	Requires
Accustomed to Violence	Terran
Adapt and Excel	Illyrian
Adaptable and Talented	Xindi-Primate
Agreeable	Grazerite
Airborne Avian	Aurelian
All Fingers and Thumbs	Benzite
Amiable	Bolian
Aquatic	Xindi-Aquatic
Aquatic Mammal	Cetacean
At All Costs	Son'a
Atavistic Defenses	Rigellian Chelon
Borg Implants	Liberated Borg
Born to the Dark	Reman
Brute Force	Nausicaan
Bynar Pair	Bynar
Calm Under Pressure	Xindi-Arboreal
Camouflage Field	Xahean
Clarity in Peace	Risian
Deep Determination	Ktarian
Divergent Physiology	Rigellian Jelna
Durable Physiology	Xindi-Reptilian
Eidetic Memory	Yridian
Empath	Deltan
Epicurean	Klowahkan
Extraordinary Mind	Ocampa
Feline Form	Caitian
Feline Predator	Kzinti
Gelatinous Form	Breen
Genetically Enhanced	Human Augment
Hardened for Battle	Betelgeusian
Honor Among Thieves	Blue Orion
Hunter or Prey	Kelpien
Insectoid	Xindi-Insectoid
Intense Defiance	Kellerun
Lived Nearly Forever	Lanthanite
Morphogenic Matrix	Changeling
Natural Balance	Kwejian
Natural Shapeshifter	Chameloid
Neuroflux	Vau N'Akat
Perfect Soldier	Jem'Hadar
Photonic	Hologram
Resistant Anatomy	Lurian
Rock Hard	Brikar
Several Moves Ahead	Zakdorn
Silicon-Based Burrower	Horta
Sokath, His Eyes Uncovered	Child of Tama
Straightforward	Pakled
Sublime Mind, Hideous Form	Medusan
Superior Ambition	Klingon QuchHa'
Superior Metabolism	Saurian
Synthetic Life-Form	Android
Technological Life	Exocomp
The Voice of the Founders	Vorta
Tiny Being in a Lifelike Android	Nanokin
Transtemporal Awareness	El-Aurian
Trilateral Symmetry	Edosian
Unreadable Face	Osnullus
Unyielding Resolve	Barzan
Visual Spectrum	Efrosian
Widely Traveled	Talaxian
